날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-01-31,16,16,13,19,16,17,15,15,18,17,19,16,17,12,15,14,10,16
2023-01-30,15,16,15,13,16,14,14,14,17,17,17,15,15,11,14,13,11,14
2023-01-29,15,15,14,13,17,16,15,12,16,14,17,18,19,12,14,13,20,16
2023-01-28,12,12,11,12,11,12,14,11,13,12,15,14,15,10,11,11,8,15
2023-01-27,17,20,15,16,19,18,17,14,20,19,22,19,19,12,17,12,13,17
2023-01-26,17,20,14,17,23,18,17,12,22,15,21,21,14,11,13,12,6,22
2023-01-25,8,8,6,6,11,8,9,7,10,9,11,11,9,5,7,6,5,10
2023-01-24,11,10,16,12,10,11,10,16,9,11,12,10,18,9,13,13,11,9
2023-01-23,26,30,17,23,31,25,29,19,30,25,30,34,31,19,22,17,17,30
2023-01-22,15,13,12,16,15,13,16,12,15,15,18,19,18,11,14,12,6,19
2023-01-21,11,11,8,8,12,9,11,9,12,9,13,14,12,8,9,9,7,13
2023-01-20,20,17,25,20,18,20,19,24,17,18,20,20,22,18,21,20,26,16
2023-01-19,26,25,26,29,27,32,23,24,27,23,27,24,30,22,24,24,17,23
2023-01-18,27,25,30,28,26,29,22,26,28,25,30,29,30,22,26,24,22,25
2023-01-17,17,18,15,16,19,12,17,15,21,19,23,18,17,9,17,13,8,19
2023-01-16,12,13,14,13,11,9,13,15,13,13,16,11,11,7,14,11,8,11
2023-01-15,9,12,8,6,13,12,8,9,10,5,9,11,12,8,6,7,11,8
2023-01-14,11,7,15,11,11,11,8,13,9,8,9,16,17,9,12,10,10,10
2023-01-13,16,13,11,39,15,9,19,13,18,14,22,15,10,7,22,10,11,18
2023-01-12,34,44,22,40,50,20,32,24,49,29,36,41,27,16,27,22,9,42
2023-01-11,37,47,20,29,47,30,34,20,56,27,40,49,41,19,25,18,9,42
2023-01-10,31,33,24,33,32,29,28,28,37,22,39,37,34,23,31,26,15,32
2023-01-09,35,40,34,38,37,30,28,34,41,35,37,34,34,29,35,32,27,29
2023-01-08,41,58,29,37,48,32,28,29,57,55,49,33,32,31,39,27,26,29
2023-01-07,73,89,62,56,89,56,79,56,95,64,86,87,66,49,63,49,36,78
2023-01-06,69,61,63,66,72,87,81,56,69,43,79,84,88,66,61,61,40,83
2023-01-05,46,36,53,53,45,54,44,48,44,29,51,48,53,46,46,47,43,50
2023-01-04,21,23,16,15,25,23,18,14,25,17,24,24,23,17,16,16,12,22
2023-01-03,15,17,9,10,17,12,14,10,19,16,20,16,16,9,12,10,12,16
2023-01-02,11,11,7,8,12,10,10,10,13,14,15,11,14,6,11,8,10,11
2023-01-01,35,37,39,32,37,36,25,36,36,29,37,35,38,35,34,34,47,30
